Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1460,Unknown Artist,Monkey Men Fighting,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1461,Unknown Artist,Hanuman,1701,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1463,Unknown Artist,Double Sided Manuscript,1701,,Gouache and gold on paper,Gouache and gold on paper,5.5,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1464,Unknown Artist,Two Ladies Visiting a Priest,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1465,Unknown Artist,Rama and Sita,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1466,Unknown Artist,Radha Adoring an Image of Krishna,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1467,Unknown Artist,Attendant Applying Henna to the Foot of a Maiden,1701,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1468,Unknown Artist,Mother and Child,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1469,Unknown Artist,Ganesh with attendants,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1470,Unknown Artist,Two Illustrations from the Nala Damayanti,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1471,Unknown Artist,Yashoda and Krishna,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1472,Unknown Artist,Double Sided Illustration,1801,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1473,Unknown Artist,Two Manuscript Fragments,,,Gouache on paper,Gouache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1474,Unknown Artist,Royal Couple with Mucisians,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1477,Unknown Artist,Ragini Kanada: From a Ragamala Series,1800,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1478,Unknown Artist,Ladies in a Zenana,1701,,"Gouache heightened with gold on paper, edged with brocaded silk.","Gouache heightened with gold on paper, edged with brocaded silk.",,,,,,"Drawing, Collage or other Work on Paper"
KG-1479,Unknown Artist,A Maiden and Sakhi in a Courtyard,1701,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1480,Unknown Artist,Double Sided Manuscript (with snake),1701,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1481,Unknown Artist,Lovers in a Garden,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1482,Unknown Artist,Two Ladies Worshipping a Shiva Linga,1701,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1484,Unknown Artist,An Illustration to the Rasikapriya of Keshavdas,1645,,Opaque watercolors heightened with gold on paper,Opaque watercolors heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1488,Unknown Artist,Sri Raga: Illustration from a Ragamala Series,,,Watercolor on paper,Watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1490,Unknown Artist,Mahishasura Enthroned: Folio from a Devi Mahatmya Series,,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
