kg_id,match_score,external_title,decision
KG-1040,100,Animated view of Oucour in the Maissour,merged: image.alternates
KG-1053,100,View of the ruins of the palace of Madoureh,merged: image.alternates
KG-1042,100,View of part of the palace of Madhoureh,merged: image.alternates
KG-1044,100,View of the Djag-Deo Warangor Valley and other fortified heights in the Bara-Mah,merged: image.alternates
KG-1045,98,Animated view of the caves of Elora,merged: image.alternates
KG-1046,100,Large pagoda of Tritchinapali,merged: image.alternates
KG-1047,100,"Animated view of Fort Saint Georges in Madras, taken from the east",merged: image.alternates
KG-1048,100,Beef colossal in Tanjore,merged: image.alternates
KG-1049,97,General view of Elora,merged: image.alternates
KG-1908,100,View taken in Fort Madhoureh,merged: image.alternates
KG-1051,100,View of Ryacotte in the Bara-Mahl,merged: image.alternates
KG-1052,100,Series of engravings/prints,merged: image.alternates
KG-1055,100,Animated view of the southeast of Tritchinapali,merged: image.alternates
KG-1056,100,"Animated view of the Dau-Tali temple, on two floors",merged: image.alternates
KG-1057,100,Animated view of the temple of Doumar Leyna,merged: image.alternates
KG-1916,100,View taken in the fort of Tritchinapali,merged: image.alternates
KG-1059,100,Bas relief of the temple of Indra,merged: image.alternates
KG-1058,91,"View of the rock of Tritchinapali, taken on the Kaveri",merged: image.alternates
,0,Manjnun in the Wilderness **new scan needed,no match >= threshold
KG-1003,100,Ganesha,skipped: KG-# already enriched from earlier source
KG-1060,100,Krishna with Female Attendants,skipped: KG-# already enriched from earlier source
KG-1061,100,Yaksha,skipped: KG-# already enriched from earlier source
KG-1062,100,Uma (Parvati),skipped: KG-# already enriched from earlier source
KG-2139,100,Illustration to a Rasikapriya Series: Krishna and Radha at a Jarokha window,skipped: KG-# already enriched from earlier source
KG-1063,100,Illustration to a Rasikapriya Series: Radha seated with a confidant in a pavilio,skipped: KG-# already enriched from earlier source
KG-1064,100,Illustration to a Rasikapriya Series: An older Sakhi comforts a forlorn Radha,skipped: KG-# already enriched from earlier source
KG-1633,100,Illustration to a Rasikapriya Series: Krishna Enthroned,skipped: KG-# already enriched from earlier source
KG-1065,100,Illustration to a Rasikapriya series: Krishna seated with Radha,skipped: KG-# already enriched from earlier source
KG-1634,100,Illustration to a Rasikapriya series: Krishna conversing with a Sakhi,skipped: KG-# already enriched from earlier source
KG-1100,100,Rama,skipped: KG-# already enriched from earlier source
KG-1187,100,Seated Nobleman on a Terrace,skipped: KG-# already enriched from earlier source
KG-1067,100,Aurangzeb in Court,skipped: KG-# already enriched from earlier source
KG-1068,100,Baz Bahadur and Rupmati Riding at Night,skipped: KG-# already enriched from earlier source
KG-1069,100,A Ram’s Head Shamshir,skipped: KG-# already enriched from earlier source
KG-1070,100,A Maiden Approaches a Nobleman,skipped: KG-# already enriched from earlier source
