j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
2022,,Indian clay figures,Krishnanagar,19th century,"Clay, hair, cloth",varies- 11 1/4 in. (28.6 cm.) and under,gallery,https://drive.google.com/drive/folders/1EhgcD9cxuOpEODKb8Fg1pAswIcn_-bFF?usp=sharing,"John McInnis Auctioneers, 23 February 2021, lot #0601",,,,
2022,,illustration of bladesmith,"Attributed to the circle of Ghulam ‘Ali Khan (active 1817–1855), Company School, possibly Delhi",19th century,Opaque watercolor on paper,"Image: 4 ¾ x 4 ¼ in. (12.1 x 10.8 cm.)
Folio: 10 ¾ x 8 ¾ in. (27.3 x 22.2 cm.)",Portraits binder,https://drive.google.com/drive/folders/1hl2eVXOc83s5oRzUU4H04muTUiFI_26w?usp=sharing,,,,,
2022,,Two architectural drawings of the tombs of Shah Jahan and Mumtaz Mahal,"Company School, North India, possibly Delhi",Late 19th century,Opaque watercolor on paper,"Shah Jahan folio: 9 ½ x 13 ¾ in. (24.1 x 34.9 cm.)
Mumtaz folio: 9 x 13 ⅔ in. (22.9 x 33.9 cm.)
","Framed,
A2",https://drive.google.com/drive/folders/141kONHZwegMRjLRdCZ0P9DVUdG0JlXjw?usp=sharing,,,,,
2022,,Illustration to a Ragamala series: Todi Ragini,Provincial Mughal,18th century,Opaque watercolor heightened with gold on paper,"Image: 4 7/8 x 7 1/8 in. (12.4 x 18.1 cm.)
Folio: 13 x 10 (33 x 25.4 cm.) ",Drawer 14,https://drive.google.com/drive/folders/1KbSxq0B9lr2dlPS7nPqFrG-8LS4usttL?usp=sharing,,,"Private British collection. 
Christie’s South Kensington, 1 October 2012, lot 97.",,
2022,,Illustration to a Ragamala series: Todi Ragini,Mughal,18th century,Opaque watercolor heightened with gold on paper,"Image: 5 1/8 x 3 in. (13 x 7.6 cm.)
Folio: 6 1/4 x 4 1/8 in. (15.9 x 10.5 cm.)","Poster House Show,
Framed C2",https://drive.google.com/drive/folders/1XitIHUghify4TPXOBMLZeXlybZeyCTL0?usp=sharing,"Bonham's 17 Dec 2018, lot 345.",,"Private Florida collection, since 1992.
Bonham's San Francisco, 17 December 2018, lot 345",Bonham's cat,
2022,,Illustration to a Ragamala series: Gujari Ragini,Mughal,18th century,Opaque watercolor heightened with gold on paper,"Image: 5 ¼ x 3 ⅛ in. (13.3 x 7.9 cm.)
Folio: 7 ¼ x 4 ¾ in. (17.8 x 10.2 cm.)
",Drawer 14,https://drive.google.com/drive/folders/1HxJ-Ra8w0rhIQGEG33ckw5hp01-4DYwT?usp=sharing ,"Bonham's 17 Dec 2018, lot 345.",,"Private Florida collection, since 1992.
Bonham's San Francisco, 17 December 2018, lot 345",Bonham's cat,
2022,,Angels dance and fly,Pahari Hills,circa 1800,Opaque watercolor heightened with gold on paper,"Image: 9 x 6 ⅝ in. (22.9 x 16.8 cm.)
Folio: 11 ½ x 8 ⅞ in. (29.2 x 22.5 cm.)",Gallery,https://drive.google.com/drive/folders/1_4HPCYxhcTbMRD2X_KSKToEsBvUr386l?usp=sharing,,,,,
2022,,,Pahari Hills,18th century,Opaque watercolor heightened with gold on paper,"Image: 5 5/8 x 4 in. (14.3 x 10.2 cm.)
Folio: 9 5/8 x 6 5/8 in. (24.4 x 16.8 cm.)",Drawer 14,https://drive.google.com/drive/folders/1xfDYWagASTvhIeHXzSqxQ2WqSUVBJt2f?usp=sharing,"Freeman's, 14 October 2021, lot 151.",,"The collection of Dr. and Mrs. Giraud V. and Carolyn Foster, acquired in India, 1956.",,
2022,,Lakshmi-Narayana enthroned,"Pahari, Kangra Valley, maybe Garwhal",dated Samvat 1845 (1798 C.E.),Opaque watercolor heightened with gold on paper,8.2 x 8.1 in. (21 x 20.7 cm.),shipment pending,https://drive.google.com/drive/folders/1EQjkI43N_Y_xaivGQch0gB_eEUfGkCYv?usp=sharing,"Bonhams London,  25 October 2021, lot 304.",,"Hearst & Hearst, Boston, early 1980s.
Private Boston collection.",,
2022,,A nayika preparing to meet her beloved,Kangra,mid 19th century,Opaque watercolor heightened with gold on paper,Image: 7 2/3 x 5 in. (19.5 x 12.7 cm.) Folio: 10 1/2 x 7 in. (26.7 x 17.8 cm.),Gallery 4/28,https://drive.google.com/drive/folders/1qJzuzJFz9rMRZmS2EUGom_D1Y1uDvRJ3?usp=sharing,,,"Christie’s New York, 6 July 1978, lot 64. 
The collection of Dr. Alec Simpson.",,
,,,,,,,,,,,,,
2022,,Illustration to a Ragamala series: Tilangi Ragini,Kangra,circa 1800,Opaque watercolor heightened with gold on paper,"Image: 9 x 6 ½ in. (22.9 x 16.5 cm.)
Folio: 10 ¾ x 8 in. (27.3 x 20.3 cm.)","framed, gallery",https://drive.google.com/drive/folders/1tNIxAE8W8NugPHopKXXY4mLB_rTvHTzC?usp=sharing,,,Private English collection.,,
2022,,Illustration to a Ragamala series: Srihathi Ragini,Kangra,circa 1800,Opaque watercolor heightened with gold on paper,"Image: 9 ⅛ x 6 ⅝ in. (23.2 x 16.8 cm.)
Folio: 10 ¾ x 8 in. (27.3 x 20.3 cm.)",drawer 14,https://drive.google.com/drive/folders/1Dvn9YsOu91eJ52Z4XJmDxjlUANUFTiwR?usp=sharing,,,Private English collection.,,
,,,,,,,,,,,,,
2022,,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana:
Satadhanva, Akrura, and Kratvarma in Discussion","Attributed to the first generation after Nainsukh and Manaku, Guler-Basohli",circa 1760-1765,Opaque watercolor heightened with gold on paper,"Image: 10 ¾ x 15 in. (27.4 x 38 cm.)
Folio: 11 ¾ x 16 1/8 in. (29.7 x 40.8 cm.)",shipment pending,https://drive.google.com/drive/folders/1zT8ApTffe_YPMK3-yFQyZikZQwq78WUi?usp=sharing,"Christie's London, 28 October 2021, lot 60.",,,,
2022,,Sambara and Rati,Guler-Chamba,circa 1780,Opaque watercolor on paper,"Image: 6 ⅝ x 9 ⅝ in. (16.8 x 24.6 cm.)
Folio: 8 ½ x 11 ½ in. (21.6 x 29.2 cm.)","Framed,
A2",https://drive.google.com/drive/folders/1tiyqXZK7yzmThq-TWZEZA0axomLNjADN?usp=sharing,"Christie's New York, 11 September 2019, lot 405.",,"Maggs Bros Ltd., London.
Private collection, acquired from the above 30 June 1984.",invoice,
